Date,Category,Cost,Currency,Person1,Person2,Person3,Person4
2018-09-02,Groceries,310.0,INR,0.0,-103.33,106.67,-3.34
2018-09-02,Groceries,68.0,INR,0.0,-22.66,45.33,-22.67
2018-09-04,Groceries,245.0,INR,0.0,-81.66,163.33,-81.67
2018-09-06,Dining out,155.0,INR,0.0,77.5,0.0,-77.5
2018-09-09,Groceries,517.0,INR,0.0,-172.34,-172.33,344.67
2018-09-10,Dining out,90.0,INR,0.0,45.0,0.0,-45.0
2018-09-17,Water,100.0,INR,0.0,66.67,-33.33,-33.34
2018-09-17,Dining out,267.0,INR,0.0,178.0,-89.0,-89.0
2018-09-18,Electricity,761.0,INR,0.0,-253.66,507.33,-253.67
2018-09-21,Groceries,443.0,INR,0.0,-147.66,295.33,-147.67
2018-09-22,General,395.0,INR,0.0,197.5,-197.5,0.0
2018-09-22,General,240.0,INR,0.0,120.0,-120.0,0.0
2018-09-22,Dining out,80.0,INR,0.0,40.0,-40.0,0.0
2018-09-23,Dining out,100.0,INR,0.0,50.0,-50.0,0.0
2018-09-25,General,299.0,INR,0.0,199.33,-99.66,-99.67
2018-09-26,Groceries,284.0,INR,0.0,-94.67,189.34,-94.67
2018-09-28,Electricity,719.0,INR,0.0,-239.67,479.33,-239.66
2018-10-03,Rent,9500.0,INR,0.0,-3166.67,6333.33,-3166.66
2018-10-04,General,8333.0,INR,0.0,-4166.5,8333.0,-4166.5
2018-10-07,Water,50.0,INR,0.0,33.33,-16.66,-16.67
2018-10-09,Dining out,160.0,INR,0.0,-40.0,120.0,-80.0
2018-10-09,Dining out,205.0,INR,0.0,136.67,-68.34,-68.33
2018-10-14,Water,100.0,INR,0.0,-33.34,-33.33,66.67
2018-10-14,Household supplies,257.0,INR,0.0,-85.67,-85.67,171.34
2018-10-14,Household supplies,1995.0,INR,0.0,-665.0,1330.0,-665.0
2018-10-14,General,90.0,INR,0.0,-30.0,-30.0,60.0
2018-10-21,General,366.0,INR,0.0,183.0,-183.0,0.0
2018-10-28,General,170.0,INR,0.0,-56.67,113.34,-56.67
2018-10-30,Water,80.0,INR,0.0,53.33,-26.66,-26.67
2018-11-02,Rent,9500.0,INR,0.0,-3166.67,6333.34,-3166.67
2018-11-09,Dining out,254.0,INR,0.0,-127.0,127.0,0.0
